,id,sentiment,extractText
0,1012,1,"ROS-LEHTINEN AND HAITI That's very nice--high praise indeed, and in the Cong Record for prosperity!"
1,1050,1,"FP - - KUDOS, MADAM S/P! That is really cool to share the list w you and a nice recognition of our year's work. Onward!"
2,1096,2,"NOORI ALI Do you recall Nooni Ali(?), the ten year. old Yemeni girl who got herself divorced? I met her at the Glamour awards last
year. There was a CNN story last few days about how unhappy she is, still living at home, not attending school and quite
angry that her life is not better. Is there any way we can help her? Could we get her to the US for counselling and
education?"
3,1140,3,MINI SCHEDULE Can you pls send me a copy for today?
4,1141,3,MINI SCHEDULE Tell Lona I'm running late but want to reschedule Lona and Huma.
5,1143,3,CALL LIST Did we ever get a time? The call will last an hour. I can also do early tomorrow am.
6,1144,3,CALL LIST I cannot do before 1 today. What about 7 or 8 am tomorrow?
7,1156,3,SHUTTLE TOMORROW I will have to go into office first. Can I get on the 11 or 12?
8,1158,3,MILIBAND CALL I'm in the car. Will ops call me or should I call in?
9,1160,3,NPR DOCUMENTS Do we have any independent third opinion we can ask for advice?
10,1161,3,ISABELLE AT 7:30 PER USUAL. /See you later today.
11,1186,3,"SCHEDULE I may see the POTUS Wed afternoon or evening per my conversation w him today. He's checking his schedule. Can you
reach out to WH?
People I saw at funeral who I want to see or who want to see me--
Randy Weingarten--reschedule dinner w her and Hillary Rosen
Dianne Feinstein--put her on my call list
Do you know about a conference that Schwarzenegger said he invited me to in CA in late Sept or Oct about the
environment?"
12,1187,3,"THREE CALL SHEETS -- ARGENTINA, PERU, URUGUAY Could I do in the 12:30-1:45 window while driving into the city?"
13,1190,3,LETTER FOR HILLARY FROM TINA BROWN Pls print.
14,1192,3,"SCHEDULE Also, once we know what time I need to be in DC, I'll need a shuttle time. And I want to lock in my return to NY on
Thursday. Do you know what time I can take a shuttle on Thursday?"
15,1196,3,"OPRAH But I'm leaving here on Wed and I'll be at home over the weekend so I'd rather get it over w in the morning. Can they do
it in the barn?"
16,1198,3,"ANOTHER MEMO ON BACKDROP TO THIS WEEK. SID H <hrod17@clintonemail.com>
Sunday, November 29, 2009 11:38 AM
'sbwhoeop
Re: Another memo on backdrop to this week. Sid
Can you send me the Hoagland piece?"
17,1201,3,"OPRAH I thought you meant next Sunday or Monday. What about this Wed afternoon or Thurs in DC? I told Cheryl and Philippe I
wouldn't leave early. If the Oprah team want to come out here and one of our friends is willing to let us use their house
out here this Monday, I would do that."
18,1203,3,OPS WILL REACH YOU ON BERRY APPROX 2:45 TO CONNECT U TO POTUS. Would you pls call my berry so I know the ringer works?
19,1205,3,OPRAH Ok. But i'll need hair and makeup touch up. Will you ask
20,1206,3,"KARL AND FRANK, Let me know what the outcome of this inquiry is. Also, I have sent Richard two emails over the last few weeks and never
reed a response. Can you check to find out whether he ever got it? Thx."
21,1213,3,TURKEY-ARMENIA TEXT FOR DAVUTOGLU CALL I will do today. So try to set up asap.
22,1214,3,JOHN KERRY'S BIRTHDAY Also pls get me a copy of the President's Nobel speech.
23,1215,3,MONDAY SCHEDULE Did you talk w Lisa about their house?
24,1216,3,TURKEY-ARMENIA TEXT FOR DAVUTOGLU CALL Is there a time for this call?
25,1227,3,"SCHEDULE Can we get Lisa's lunch rescheduled to before or after? And I'd have to do a letter for Dave's service. What are the
logisitics? Are there rooms for us if we take a smaller group?"
26,1235,3,LANDLER STORY Any more info about his email?
27,1236,3,"COULD WE SCHEDULE A CALL? Dear Tom--
H <hrod17@clintonemail.com>
Friday, December 11 2009 5:41 PM
Could we schedule a call?
I have several matters I'd like to discuss w you this weekend and was hoping we can schedule a call. I'm free tonight
after 10; tomorrow btw 8-10am and Sunday btw 8-ham and after 10pm. Do any of those times work for you?
And, by the way, I'm still laughing about the yurt! Hillary"
28,1243,3," Talking Points for Secretary's Call to North Korea Detainee's Family
1"
29,1254,3,SCHEDULE Yes will do.
30,1266,3,"MEXICO If this is an important message we can highlight in her speech today. I'll consult here, Cheryl, if you can follow up with
Jose."
31,1271,3,HAITI Call and I can explain.
32,1273,3,ANOTHER CALL Yes--at 4:45.
33,1274,3,ANOTHER CALL What about John Kerry--can he be included?
34,1275,3,ANOTHER CALL Ask ops to call me when the call is ready.
35,1281,3,S INTERVIEW FEEDBACK From amb to brazil (holdover)
36,1288,3,LEARNING THE HARD WAY FYI
37,1290,3,"IAEA Steinberg, James B <SteinbergJB@state.gov>
Thursday, April 02, 2009 12:32 PM
H
RE: IAEA
I also talked with Kerry about this, and subsequently
Would like to discuss our thoughts about this at your convenience. I will be seeing the"
38,1293,3,A REQUEST FOR MONDAY Let's discuss this am. I'm up and freer until 11.
39,1295,3, Let's discuss asap. I'm free until 11 this am.
40,1296,3,"MEXICO TRIP REPORT Attached is a draft of your Mexico trip report to POTUS. I'm also sending it by fax. I look forward to incorporating your
edits.
1Q"
41,1297,3,RE: Can do at 10. Can I get call sheet?
42,1302,3,CAN YOU TALK? Calling now
43,1309,3,HOLBROOKE ASKING TO TALK ASAS Talked w him.
44,1316,3,SUDAN CALLS I spoke w Berman who asked that someone call Payne. Do you know if that is happening?
45,1317,3,MEETINGS I need to start a weekly mtg w the Undersecretaries. Could we do it at 9 on Wednesdays?
46,1329,3,TOMORROW Will do
47,1330,3,SUDAN CALLS Did you get any feedback from these?
48,1331,3,NO. IRELAND Can you check w Shaun and see what's happening?
49,1332,3,"CAN WE TALK TONIGHT OR TOMORROW AM? H <hrod17@clintonemail.com>
Sunday, October 18, 2009 10:09 PM
Can we talk tonight or tomorrow am?
Rahm--I have a few matters to discuss. Pis let me know what times would work for you. Thx--Hillary"
50,1333,3,"I'M BACK IN DC -
RELEASE IN PART B6
\"
51,1334,3,"PSD REACTION AMS and Jack----AMS's comments and edits about development are right on target. May I call you on a conference call
this am before 8am to discuss? If so, does 7:30 work for you? Thx. HRC"
52,1336,3,"USAID Auto forwarded by a Rule
Laura Pena B6
B6
RELEASE IN PART B5,B6"
53,1348,3,"THIS WEEK? Hi, Yes; I am at (en route to airport). Thank you!
Sent from my Verizon Wireless BlackBerry"
54,1349,3,"HAITI DINNER INVITE LIST Yes — we can discuss — and in the interim we'll check on the additional names you listed.
We did not ask
Will ask AMS re:
Also asked
yet — he would be on staff list as opposed to outside guest (eg., WH folks will be with DOS foil(s)
but they did not get back yet with any names.
cdm"
55,1350,3," FEEDBACK RELEASE IN PART B5,B6
B6
Remind me to discuss feedback on"
56,1351,3,DELIVERED: CAN YOU TALK? Your message was delivered to the recipient.
57,1352,3,CAN YOU TALK? Tried you through ops
58,1353,3,DELIVERED: LET ME KNOW WHEN YOU CAN TALK Your message was delivered to the recipient.
59,1354,3,LET ME KNOW WHEN YOU CAN TALK K - will call in a bit - in line at dmv to surrender my ny license (sadly for me)
60,1358,3,"PM LETTER Pis print--one copy to Jake, one to me."
61,1400,3,MICHELETTI TALKING POINTS Pis print for me.
62,1401,3,FROM AMB. HOLBROOKE Pls print for me.
63,1402,3,LANNY DAVIS Can he help me talk w Micheletti?
64,1403,3,"GUY WAS RIGHT! You should also get Bill and/or Farmer to call. Should we get any Congress Member to call? If so, who?"
65,1404,3,GUY WAS RIGHT! Will you call him or do you want me to?
66,1411,3, Richard holbrooke called at 10pm tonite.
67,1412,3,"OSCE -  RELEASE IN PART
B5
Fyi - I plan to send to denis"
68,1414,3,"GUINEA Jeff/Harold--
I spoke w Kouchener who will be meeting in Paris tomorrow night w Moroccan FM Faris-Firri. I told him we had offered
ideas to help them out of their current standoff re returning the passport.
Jeff, can you call your French counterpart to explain and connect w Harold if we need L to contact the French legal
advisor? Thanks-iand let me know what unfolds. Hillary"
69,1415,3,GUINEA Can you be sure Jeff sees this since he's on travel? Also pass on to Ron Schlicher to work if Jeff not available.
70,144,2,"[SALON] THE DEATH OF AMBASSADOR CHRIS STEVENS, THE NEED FOR ""EXPEDITIONARY DIPLOMACY"" AND THE REAL LESSONS FOR U.S. DIPLOMACY H <hrod17@clintonemail.com>
Monday, October 15, 2012 4:46 PM
'hanleymr@state.gov'
Fw: Fwd: [Salon] The Death of Ambassador Chris Stevens, the Need for ''Expeditionary
Diplomacy, ""and the Real Lessons for U.S. Diplomacy
Pls print."
71,1460,3,HONDURAS What's the latest?
72,1464,3,SCHEDULE Do you want to see her this week?
73,1467,3,HOLBROOKE UPDATE When can we talk again? I'll be tied up from 5-6:30.
74,1468,3,HOLBROOKE UPDATE I just landed in Ny. Can I call you?
75,1469,3," - MORE WHEN WE SPEAK H <hrod17@clintonemail.com >
Sunday, October 25, 2009 11:57 AM
'millscd@state ov'
Re: - More When We Speak
B5
B6"
76,1473,3," I think you still should do but see below. I am going to reach out to listen to him.
Thoughts?
cdm
B6"
77,1474,3,NYT EDITORIAL And also what would the process be--why would my parachuting in going to be determinative?
78,1475,3,"SCHEDULE What happens to my schedule if I have to go to Copenhagen, probably Wed-Fri?"
79,1488,3,CONFIRMATIONS 
80,1489,3,HAITI MEETING REPORT Pls print two copies.
81,1490,3," TRAFFIC BELOW FROM ELLENY Mills, Cheryl D <MillsCD@state.gov>
Thursday, April 16, 2009 8:01 AM
H
Traffic below from elleny B6
fyi"
82,1491,3,CALLS Calls with turks will not take place this morning.
83,1493,3," Carolyn maloney called for you.
•-"
84,1499,3,"ARE YOU HOME? Nothing new to report- count yours -- our flights were delayed on runways so I got home at midnightl
xo
cdm"
85,1501,3,MEETING BETWEEN DSE FARMER AND PRESIDENT PREVAL 
86,1502,3,"STUFF These are the documents you should have.
1) HFAC remarks by courier
2) Mitchell Report by courier
3) Verma Q and A by fax
4) Cabinet statement by fax
14"
87,1503,3, FYI
88,1504,3,CALLS Times just didn't work. We are looking for different times today.
89,1510,3,TESTIMONY Yes I will get on it.
90,1511,3,"TESTIMONY We'll have this for you.
B6"
91,1512,3,CONFIRMATIONS Am in office
92,1530,3,ANYTHING NEW TO REPORT? 
93,1534,3,DO WE NEED TO TALK? 
